Identificador,Autor,Nome do Mod,Habilitado,Project ID (CurseForge)
Buuz135:AdminUI,Buuz135,AdminUI,Sim,1418291
Makapar:AreaIndicator,Makapar,AreaIndicator,Sim,1432771
ArmorStand:ArmorStand,ArmorStand,ArmorStand,Sim,1428752
Bonnibel:Arrow Hud,Bonnibel,Arrow Hud,Sim,1434892
MiniBox:AutoStorage,MiniBox,AutoStorage,Sim,1445747
AvidPixel:AvidPixel's Infinite Water Supply,AvidPixel,AvidPixel's Infinite Water Supply,Sim,1442419
benndevs:Ben's Sharks,benndevs,Ben's Sharks,Sim,1429744
lilethan000:Better Loot,lilethan000,Better Loot,Sim,1434056
dev.ninesliced:BetterMap,dev.ninesliced,BetterMap,Sim,1430352
BetterBridges:Bridges,BetterBridges,Bridges,Sim,1445608
nekonesse:Cubie's Better Building,nekonesse,Cubie's Better Building,Sim,1434749
DejansMods:Dejans_Rock_Structures,DejansMods,Dejans_Rock_Structures,Sim,1466484
DejansMods:Dejans_Structures,DejansMods,Dejans_Structures,Sim,1457388
nConditional:Diagonal_Fences,nConditional,Diagonal_Fences,Sim,1440600
JacobG:DoubleBeds,JacobG,DoubleBeds,Sim,1430238
Skara Bay:Emerald Armor,Skara Bay,Emerald Armor,Sim,1438327
Config:Endgame&QoL,Config,Endgame&QoL,Sim,1431338
fof1092:EssentialsPlus,fof1092,EssentialsPlus,Sim,1430015
Onilke:Expanded Necromancy,Onilke,Expanded Necromancy,Sim,1430281
org.Krynnx:Farming Overhaul,org.Krynnx,Farming Overhaul,Sim,1431839
xytronix:Forgotten Temple,xytronix,Forgotten Temple,Sim,1446622
Jodo:FreeCam,Jodo,FreeCam,Sim,1445182
Zurku:Gravestones,Zurku,Gravestones,Sim,1429212
Serilum:Hybrid,Serilum,Hybrid,Sim,1409700
CowMaster:Hyfarm,CowMaster,Hyfarm,Sim,1435187
TheRedlotus:HyFishing,TheRedlotus,HyFishing,Sim,1461002
B3cks:HyMenu,B3cks,HyMenu,Sim,1456852
HyOptimizer:HyOptimizer,HyOptimizer,HyOptimizer,Sim,1432986
com.hypersonicsharkz:Hytalor,com.hypersonicsharkz,Hytalor,Sim,1440123
BlameJared:ItemMagnet,BlameJared,ItemMagnet,Sim,1420426
JacobG:JLib,JacobG,JLib,Sim,1462025
AmoAster:Kytale,AmoAster,Kytale,Sim,1428431
com.linceros:LevelTools,com.linceros,LevelTools,Sim,1431738
GameMaster:Longbows Collection,GameMaster,Longbows Collection,Sim,1450407
Buuz135:LuckyMining,Buuz135,LuckyMining,Sim,1405422
SketchMacaw:Macaw's Hy Lights,SketchMacaw,Macaw's Hy Lights,Sim,1422243
SketchMacaw:Macaw's Hy Paths,SketchMacaw,Macaw's Hy Paths,Sim,1420553
